,Rank,Player,Team,Rating,Career Best Rating
0,1,Lizelle Lee,SA                    ,761,"                                774 v West Indies, 07/09/2021                        "
1,2,Alyssa Healy,AUS,750,"                                776 v India, 21/09/2021                        "
2,3,Mithali Raj,IND,738,"                                839 v Australia, 24/12/2004                        "
3,4,Tammy Beaumont,ENG,728,"                                791 v India, 27/06/2021                        "
4,5,Amy Satterthwaite,NZ,717,"                                756 v Australia, 02/03/2017                        "
5,6,Smriti Mandhana,IND,710,"                                797 v England, 28/02/2019                        "
6,7,Meg Lanning,AUS,699,"                                834 v New Zealand, 24/02/2016                        "
7,8,Beth Mooney,AUS,690,"                                690 v India, 26/09/2021                        "
8,9,Heather Knight,ENG,674,"                                693 v West Indies, 06/06/2019                        "
9,10,Laura Wolvaardt,SA,672,"                                725 v India, 07/03/2021                        "
